passenger_id,fare,cabin,embarked,boat,body,home.dest,survived
630,7.7958,,S,A,,,1
995,7.8958,,C,,,,0
1271,9.5,,S,,,,0
326,11.5,,S,,,"Buenos Aires, Argentina / New Jersey, NJ",0
96,106.425,C86,C,,62,"Deephaven, MN / Cedar Rapids, IA",0
1234,7.05,,S,,,,0
480,41.5792,,C,,,Paris / Haiti,0
254,30.5,C106,S,3,,"Manchester, England",1
1089,9.225,,S,,89,"Oslo, Norway Cameron, WI",0
638,7.05,,S,,,,0
160,57.9792,B18,C,4,,"Chicago, IL",1
184,27.7208,,C,,,"Chicago, IL",0
1114,7,,S,,,,0
688,7.0458,,S,,,"Bridgerule, Devon",0
322,135.6333,C32,C,8,,"New York, NY / Washington, DC",1
812,7.75,,Q,,,"Ireland New York, NY",0
398,32.5,,S,10,,"Greenport, NY",1
1058,7.925,,S,,,,0
1082,3.1708,,S,13,,,1
965,9.5,,S,,,,0
591,27.75,,S,10,,"Bournmouth, England",1
905,7.8542,,S,15,,,1
359,29,,S,13,,"Bangkok, Thailand / Roseville, IL",1
1259,7.8958,,S,,,,0
214,113.275,D36,C,6,,"Lexington, MA",1
881,7.7958,,S,A,,,1
679,15.2458,,C,,,"Syria Kent, ON",0
849,7.8542,,S,,,,0
629,31.275,,S,,,"Sweden Winnipeg, MN",0
1078,7.8792,,Q,,,,1
691,8.05,,S,,,"Broomfield, Chelmsford, England",0
388,13,,S,13,,"London / Staten Island, NY",1
143,55.4417,E50,C,5,,"Brooklyn, NY",1
374,10.5,,S,,,"Hartford, Huntingdonshire",0
120,27.7208,D40,C,5,,"New York, NY",1
1185,21.6792,,C,,,,0
1010,16.1,,S,,,,0
945,56.4958,,S,C,,,1
770,7.25,,S,,,,0
858,56.4958,,S,C,,,1
859,6.75,,Q,,,,0
880,7.8958,,C,15,,,1
310,164.8667,,S,,,"Youngstown, OH",0
683,15.5,,Q,,,"Ireland Chicago, IL",0
730,7.8958,,S,,,Austria,0
981,7.5792,,S,15,,,1
996,7.8958,,S,,,,0
450,13,,S,,149,Southampton,0
1084,8.4042,,S,,,,0
210,30.5,C30,S,,,"Montreal, PQ",0
864,7.775,,S,,,,0
203,82.1708,,C,,,"New York, NY",0
410,0,,S,,,Belfast,0
759,17.4,,S,13,,"Tampico, MT",1
29,26.55,C52,S,D,,"Stockholm, Sweden / Washington, DC",1
901,23.45,,S,,,,0
213,113.275,D36,C,6,,"Lexington, MA",1
674,56.4958,,S,C,,"Hong Kong New York, NY",1
697,8.6625,,S,,,,0
129,211.5,C130,C,4,,,1
353,26,,S,12,,"Skara, Sweden / Rockford, IL",1
1086,7.8542,,S,,,,0
586,26,,S,10,,"Bromsgrove, England / Montreal, PQ",1
116,263,C23 C25 C27,S,10,,"Winnipeg, MB",1
867,12.2875,,S,15,,,1
348,13,,S,,,"Lake Arthur, Chavez County, NM",0
997,7.225,,C,C,,,1
1205,7.4958,,S,16,,,1
314,211.5,C80,C,4,,"Elkins Park, PA",1
1176,69.55,,S,,,,0
1155,7.775,,S,,,,0
607,7.2292,,C,C,,"Greensburg, PA",1
715,8.05,,S,,,,0
1217,7.65,F G73,S,,,,0
1182,7.65,,S,C,,,1
1233,7.925,,S,15,,,1
481,41.5792,,C,14,,Paris / Haiti,1
889,7.775,,S,15,,,1
1131,8.05,E10,S,9,,,1
1253,7.2292,,C,,,,0
39,50.4958,B10,C,,208,"Omaha, NE",0
225,93.5,B24,S,,,"Montreal, PQ",0
1235,7.775,,S,,,,0
922,7.75,,Q,16,,,1
1062,7.8542,,S,,,,0
1038,8.05,,S,,,,0
1284,8.05,,S,,,,0
1024,7.65,F G73,S,,309,,0
669,8.05,,S,,,England,0
226,66.6,C2,S,,,"Isleworth, England",0
1242,6.4375,,C,,,,0
681,15.2458,,C,,,"Syria Kent, ON",0
584,13,E101,S,12,,"England / Hartford, CT",1
1302,7.225,,C,,,,0
59,27.7208,,C,5,,"New York, NY",1
188,39.4,D28,S,9,,"Paris, France",1
263,55.9,E44,S,11,,"Duluth, MN",1
473,0,,S,,,Belfast,0
372,26,,S,,,"England / San Francisco, CA",0
776,7.75,,Q,,,"Ireland New York, NY",0
18,76.2917,D15,C,8,,,1
198,53.1,D30,S,10,,"New York, NY",1
26,91.0792,B49,C,7,,"Dowagiac, MI",1
262,55.9,E44,S,,,"Duluth, MN",0
729,7.8958,,S,,,Austria,0
42,51.4792,C101,S,D,,"Belmont, MA",1
1143,29.125,,Q,,,,0
91,57,B20,S,3,,"Calgary, AB",1
1,151.55,C22 C26,S,11,,"Montreal, PQ / Chesterville, ON",1
809,34.375,,S,,,"Rotherfield, Sussex, England Essex Co, MA",0
726,7.6292,,Q,,,Ireland,0
257,57.75,C28,C,11,,"New York, NY",1
816,7.8958,,C,,,,0
561,13.5,,S,,,"Sault St Marie, ON",0
731,7.8958,,S,,,Austria,0
24,221.7792,C97,S,8,,,1
1050,15.7417,,C,C,,,1
648,7.225,,C,,,"Ottawa, ON",0
1298,9.5,,S,,,,0
13,78.85,,S,6,,,1
562,12.35,,Q,13,,"Halifax, NS",1
64,53.1,E8,S,5,,"New York, NY / Ithaca, NY",1
1133,8.6625,,S,,,,0
1160,8.05,,S,,,,0
82,71,B22,S,7,,"Milwaukee, WI",1
912,7.8958,,S,,,,0
161,77.9583,D11,S,10,,"Hudson, NY",1
176,51.8625,D21,S,8,,"Southington / Noank, CT",1
308,135.6333,C32,C,8,,"New York, NY / Briarcliff Manor NY",1
1291,8.7125,,S,,,,0
582,15.75,,S,9,,"Aberdeen / Portland, OR",1
154,93.5,B69,S,,307,"Montreal, PQ",0
1011,16.1,,S,,53,,0
246,59.4,,C,,,"New York, NY",0
1260,9.8417,,S,15,,,1
564,13,,S,9,,,1
1213,8.05,,S,,,,0
255,69.3,B35,C,9,,,1
829,46.9,,S,,,"Wiltshire, England Niagara Falls, NY",0
183,512.3292,B101,C,3,,,1
444,73.5,,S,,,"West Hampstead, London / Neepawa, MB",0
304,75.25,D37,C,5,,"Portland, OR",1
8,51.4792,C101,S,D,,"Bayside, Queens, NY",1
993,7.7375,,Q,16,,,1
778,12.475,,S,13,,"Union Hill, NJ",1
49,512.3292,B51 B53 B55,C,3,,"Austria-Hungary / Germantown, Philadelphia, PA",1
465,13.7917,D,C,11,,"New York, NY",1
1101,39.6875,,S,,,,0
909,7.925,,S,15,,,1
941,7.2292,F E57,C,10,,,1
418,10.5,,S,,,Cornwall,0
1287,7.75,,S,,,,0
748,14.4,,S,,197,"Stanton, IA",0
312,211.5,C80,C,,,"Elkins Park, PA",0
1206,27.9,,S,,,,0
1226,7.8958,,S,,,,0
261,26.2875,E24,S,5,,"St Louis, MO",1
466,26,,S,,283,"Moscow / Bronx, NY",0
1210,27.9,,S,,,,0
464,10.5,,S,,,"St Ives, Cornwall / Houghton, MI",0
577,21,,S,14,,"Mamaroneck, NY",1
1045,7.75,,S,,,,0
820,20.525,,S,C D,,"Strood, Kent, England Detroit, MI",1
1095,7.6292,,Q,,,,0
243,79.2,,C,,16,"New York, NY",0
1306,7.225,,C,,304,,0
239,50.4958,A24,S,,,"Trenton, NJ",0
386,73.5,,S,,,"Lyndhurst, England",0
532,13,,S,,,,0
1167,7.7292,,Q,,,,0
1123,22.3583,,C,D,,,1
754,24.15,,S,,,"West Bromwich, England Pontiac, MI",0
855,18.7875,,C,,,,0
1188,16.7,G6,S,13,,,1
693,7.8208,,Q,13,,"Kingwilliamstown, Co Cork, Ireland New York, NY",1
253,262.375,B57 B59 B63 B66,C,4,,"Haverford, PA / Cooperstown, NY",1
892,7.775,,S,,,,0
1245,8.05,,S,,,,0
94,81.8583,A34,S,5,,"San Francisco, CA",1
104,78.2667,D20,C,4,,"Brookline, MA",1
217,26,,S,,263,"Isle of Wight, England",0
306,77.2875,D26,S,,,"Brunswick, ME",0
487,12.35,,Q,,,,0
61,78.85,C46,S,6,,"Little Onn Hall, Staffs",1
345,13,,S,,,"St Ives, Cornwall / Calumet, MI",0
107,31.6833,,S,7,,"New York, NY",1
102,83.1583,C54,C,7,,"Mt Airy, Philadelphia, PA",1
333,13,D,S,10,,"Bristol, Avon / Jacksonville, FL",1
62,61.175,E31,S,,,"Amenia, ND",0
1256,15.2458,,C,C,,,1
208,90,C78,Q,14,,"Fond du Lac, WI",1
709,7.75,,Q,16,,"Co Longford, Ireland New York, NY",1
1288,6.4958,,S,,314,,0
165,90,C93,S,D,,"New York, NY /  Stamford CT",1
158,50,C39,S,,,London / Birmingham,0
174,29.7,B37,C,,258,"Buffalo, NY",0
467,26,,S,12,,"Moscow / Bronx, NY",1
1112,13.775,,S,,,,0
425,13,,S,,19,"Bronx, NY",0
